participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
11,27,male,master,2,13,1,11593
11,27,male,master,2,14,0,9034
11,27,male,master,2,15,0,9188
11,27,male,master,2,16,1,9798
11,27,male,master,2,17,1,18365
11,27,male,master,2,18,1,8553
11,27,male,master,2,19,0,9043
11,27,male,master,2,20,0,9411
11,27,male,master,2,21,0,9126
11,27,male,master,2,22,0,9179
11,27,male,master,2,23,0,8743
11,27,male,master,2,24,1,10470
11,27,male,master,2,25,0,10167
11,27,male,master,2,26,0,8265
11,27,male,master,2,27,1,14601
12,27,male,master,3,1,0,318
12,27,male,master,3,2,0,293
12,27,male,master,3,3,1,12796
12,27,male,master,3,4,0,1520
12,27,male,master,3,5,0,12504
12,27,male,master,3,6,1,5968
12,27,male,master,3,7,1,9431
12,27,male,master,3,8,0,5776
12,27,male,master,3,9,0,1603
12,27,male,master,3,10,0,8072
12,27,male,master,3,11,0,49569
12,27,male,master,3,12,0,1031
12,27,male,master,3,13,0,868
12,27,male,master,3,14,0,638
12,27,male,master,3,15,0,489
12,27,male,master,3,16,1,897
12,27,male,master,3,17,1,560
12,27,male,master,3,18,1,726
12,27,male,master,3,19,0,446
12,27,male,master,3,20,0,740
12,27,male,master,3,21,0,7432
12,27,male,master,3,22,0,949
12,27,male,master,3,23,0,474
12,27,male,master,3,24,1,726
12,27,male,master,3,25,1,410
12,27,male,master,3,26,1,387
12,27,male,master,3,27,1,403
13,28,male,phd,0,1,1,8240
13,28,male,phd,0,2,1,9095
13,28,male,phd,0,3,1,11312
13,28,male,phd,0,4,1,12359
13,28,male,phd,0,5,1,15248
13,28,male,phd,0,6,1,11823
13,28,male,phd,0,7,1,59056
13,28,male,phd,0,8,1,19400
13,28,male,phd,0,9,1,23958
13,28,male,phd,0,10,1,10024
13,28,male,phd,0,11,0,58152
13,28,male,phd,0,12,1,14200
13,28,male,phd,0,13,1,14024
13,28,male,phd,0,14,1,5767
13,28,male,phd,0,15,1,8295
13,28,male,phd,0,16,0,26736
13,28,male,phd,0,17,1,13375
13,28,male,phd,0,18,1,6271
13,28,male,phd,0,19,1,16841
13,28,male,phd,0,20,1,6871
13,28,male,phd,0,21,1,7912
13,28,male,phd,0,22,1,23887
13,28,male,phd,0,23,1,9272
13,28,male,phd,0,24,1,9424
13,28,male,phd,0,25,1,7431
13,28,male,phd,0,26,1,7360
13,28,male,phd,0,27,1,6640
14,23,male,master,1,1,0,1986
14,23,male,master,1,2,0,625
14,23,male,master,1,3,1,1688
14,23,male,master,1,4,1,1220
14,23,male,master,1,5,0,3848
14,23,male,master,1,6,1,4586
14,23,male,master,1,7,1,5797
14,23,male,master,1,8,1,1736
14,23,male,master,1,9,0,3140
14,23,male,master,1,10,0,6497
14,23,male,master,1,11,1,4812
14,23,male,master,1,12,1,18662
14,23,male,master,1,13,0,5855
14,23,male,master,1,14,1,2468
14,23,male,master,1,15,0,2271
14,23,male,master,1,16,0,12176
14,23,male,master,1,17,0,1384
14,23,male,master,1,18,0,3054
14,23,male,master,1,19,1,1549
14,23,male,master,1,20,0,4758
14,23,male,master,1,21,0,1749
14,23,male,master,1,22,0,1786
14,23,male,master,1,23,0,1723
14,23,male,master,1,24,1,2647
14,23,male,master,1,25,1,2118
14,23,male,master,1,26,0,2206
14,23,male,master,1,27,1,3311
15,29,male,freshman,4,1,1,3240
15,29,male,freshman,4,2,0,12836
15,29,male,freshman,4,3,1,7377
15,29,male,freshman,4,4,1,7499
